date_str,year_month,year,cost_gas_eur_mwh,cost_coal_eur_mwh,cost_diesel_eur_mwh,cost_uranium_eur_mwh,eu_ets_price_eur_tco2
2022-11-03,2022-11,2022,62.11,27.78845595687196,,2.544974630763629,
2022-11-04,2022-11,2022,43.0,27.172957320987248,,2.544974630763629,
2022-11-05,2022-11,2022,49.59,27.172957320987248,,2.544974630763629,
2022-11-06,2022-11,2022,39.19,27.172957320987248,,2.544974630763629,
2022-11-07,2022-11,2022,45.35,25.117384097800453,,2.544974630763629,
2022-11-08,2022-11,2022,46.08,23.635317247493955,,2.544974630763629,
2022-11-09,2022-11,2022,46.86,22.91059610372209,,2.544974630763629,
2022-11-10,2022-11,2022,52.99,23.86614502805369,,2.544974630763629,
2022-11-11,2022-11,2022,52.09,23.26290261252456,,2.544974630763629,
2022-11-12,2022-11,2022,51.95,23.26290261252456,,2.544974630763629,
2022-11-13,2022-11,2022,52.31,23.26290261252456,,2.544974630763629,
2022-11-14,2022-11,2022,56.32,23.19374007502317,,2.544974630763629,
2022-11-15,2022-11,2022,50.86,24.16697598230695,,2.544974630763629,
2022-11-16,2022-11,2022,53.12,23.483919611235606,,2.544974630763629,
2022-11-17,2022-11,2022,51.69,23.931817457182863,,2.544974630763629,
2022-11-18,2022-11,2022,53.92,24.897897469240835,,2.544974630763629,
2022-11-19,2022-11,2022,47.89,24.897897469240835,,2.544974630763629,
2022-11-20,2022-11,2022,48.55,24.897897469240835,,2.544974630763629,
2022-11-21,2022-11,2022,51.11,25.864063075357638,,2.544974630763629,
2022-11-22,2022-11,2022,54.91,25.557574946437324,,2.544974630763629,
2022-11-23,2022-11,2022,81.48,25.466971477441827,,2.544974630763629,
2022-11-24,2022-11,2022,91.32,25.466971477441827,,2.544974630763629,
2022-11-25,2022-11,2022,86.45,25.217784478181024,,2.544974630763629,
2022-11-26,2022-11,2022,85.89,25.217784478181024,,2.544974630763629,
2022-11-27,2022-11,2022,83.33,25.217784478181024,,2.544974630763629,
2022-11-28,2022-11,2022,92.08,29.56452595003653,,2.544974630763629,
2022-11-29,2022-11,2022,99.26,30.814827512447795,,2.544974630763629,
2022-11-30,2022-11,2022,125.35,32.84094648360702,,2.544974630763629,
2022-12-01,2022-12,2022,107.28,31.28594660533489,,2.544974630763629,
2022-12-02,2022-12,2022,98.12,31.580598581780663,,2.544974630763629,
2022-12-03,2022-12,2022,148.09,31.580598581780663,,2.544974630763629,
2022-12-04,2022-12,2022,140.92,31.580598581780663,,2.544974630763629,
2022-12-05,2022-12,2022,128.84,30.64208409972575,,2.544974630763629,
2022-12-06,2022-12,2022,120.82,31.189668495439527,,2.544974630763629,
2022-12-07,2022-12,2022,121.0,30.86211495876536,,2.544974630763629,
2022-12-08,2022-12,2022,124.76,29.960998586581976,,2.544974630763629,
2022-12-09,2022-12,2022,126.28,30.248159260228007,,2.544974630763629,
2022-12-10,2022-12,2022,132.52,30.248159260228007,,2.544974630763629,
2022-12-11,2022-12,2022,133.0,30.248159260228007,,2.544974630763629,
2022-12-12,2022-12,2022,117.16,29.363397174700093,,2.544974630763629,
2022-12-13,2022-12,2022,117.81,28.9011415729205,,2.544974630763629,
2022-12-14,2022-12,2022,116.02,27.687554326051217,,2.544974630763629,
2022-12-15,2022-12,2022,114.19,27.44361367451733,,2.544974630763629,
2022-12-16,2022-12,2022,113.47,26.594955852502665,,2.544974630763629,
2022-12-17,2022-12,2022,108.31,26.594955852502665,,2.544974630763629,
